Id,Class
0,2
1,0
2,2
3,9
4,0
5,3
6,5
7,1
8,1
9,2
10,1
11,8
12,2
13,3
14,2
15,0
16,3
17,3
18,0
19,5
20,3
21,5
22,3
23,5
24,2
25,4
26,8
27,2
28,3
29,7
30,1
31,2
32,8
33,3
34,5
35,6
36,0
37,8
38,8
39,4
40,5
41,8
42,1
43,0
44,6
45,8
46,7
47,8
48,9
49,3
50,5
51,6
52,7
53,6
54,0
55,3
56,3
57,7
58,3
59,0
60,1
61,2
62,2
63,3
64,3
65,2
66,6
67,1
68,8
69,5
70,5
71,5
72,2
73,0
74,8
75,5
76,9
77,1
78,1
79,2
80,7
81,6
82,7
83,8
84,7
85,3
86,8
87,3
88,7
89,2
90,0
91,7
92,2
93,6
94,3
95,4
96,0
97,2
98,5
99,4
100,8
101,8
102,0
103,2
104,1
105,0
106,8
107,7
108,1
109,0
110,5
111,8
112,3
113,0
114,6
115,5
116,0
117,7
118,0
119,9
120,6
121,9
122,5
123,9
124,2
125,2
126,3
127,0
128,0
129,5
130,1
131,0
132,6
133,5
134,5
135,8
136,7
137,8
138,3
139,5
140,2
141,0
142,7
143,0
144,7
145,3
146,1
147,7
148,4
149,0
150,8
151,3
152,9
153,3
154,0
155,7
156,2
157,7
158,6
159,2
160,0
161,1
162,1
163,5
164,2
165,4
166,5
167,0
168,9
169,2
170,9
171,7
172,1
173,2
174,0
175,7
176,9
177,0
178,3
179,5
180,3
181,7
182,3
183,0
184,5
185,7
186,1
187,5
188,1
189,7
190,0
191,9
192,0
193,6
194,7
195,7
196,9
197,7
198,8
199,6
200,5
201,5
202,2
203,7
204,1
205,1
206,6
207,2
208,1
209,2
210,5
211,1
212,8
213,5
214,7
215,8
216,9
217,2
218,0
219,8
220,1
221,5
222,0
223,8
224,7
225,8
226,6
227,1
228,2
229,7
230,1
231,8
232,8
233,0
234,0
235,2
236,7
237,2
238,1
239,4
240,0
241,5
242,5
243,7
244,7
245,0
246,7
247,2
248,0
249,7
250,5
251,4
252,6
253,7
254,9
255,9
256,7
257,1
258,8
259,8
260,7
261,6
262,4
263,3
264,0
265,7
266,0
267,9
268,5
269,7
270,1
271,0
272,1
273,4
274,2
275,5
276,1
277,0
278,6
279,5
280,9
281,3
282,5
283,5
284,1
285,6
286,8
287,9
288,3
289,2
290,1
291,7
292,4
293,1
294,5
295,9
296,8
297,2
298,7
299,8
300,0
301,8
302,2
303,5
304,3
305,7
306,2
307,2
308,3
309,5
310,2
311,8
312,8
313,2
314,7
315,9
316,2
317,5
318,5
319,4
320,1
321,0
322,1
323,9
324,8
325,8
326,6
327,0
328,7
329,0
330,7
331,2
332,8
333,2
334,2
335,5
336,6
337,4
338,7
339,9
340,1
341,4
342,1
343,1
344,8
345,8
346,4
347,8
348,5
349,4
350,0
351,3
352,3
353,1
354,3
355,8
356,1
357,3
358,5
359,0
360,3
361,6
362,3
363,6
364,8
365,0
366,8
367,5
368,6
369,0
370,7
371,8
372,6
373,7
374,8
375,7
376,2
377,5
378,3
379,7
380,2
381,9
382,8
383,7
384,2
385,8
386,5
387,9
388,8
389,4
390,6
391,0
392,8
393,5
394,6
395,7
396,0
397,5
398,4
399,2
400,0
401,2
402,3
403,3
404,6
405,3
406,8
407,4
408,3
409,5
410,0
411,5
412,5
413,3
414,2
415,2
416,2
417,1
418,3
419,7
420,1
421,4
422,7
423,8
424,4
425,5
426,8
427,6
428,4
429,7
430,7
431,4
432,2
433,8
434,5
435,4
436,5
437,1
438,5
439,0
440,6
441,0
442,5
443,5
444,7
445,8
446,3
447,5
448,3
449,7
450,7
451,5
452,0
453,8
454,3
455,7
456,2
457,7
458,1
459,2
460,7
461,0
462,0
463,3
464,7
465,5
466,8
467,6
468,0
469,5
470,9
471,5
472,0
473,2
474,3
475,6
476,7
477,1
478,5
479,9
480,9
481,4
482,5
483,7
484,5
485,3
486,1
487,8
488,0
489,8
490,3
491,0
492,3
493,1
494,9
495,5
496,6
497,2
498,8
499,7
500,8
501,6
502,1
503,9
504,7
505,4
506,2
507,0
508,2
509,7
510,7
511,3
512,5
513,6
514,0
515,7
516,7
517,4
518,5
519,9
520,7
521,3
522,6
523,8
524,9
525,7
526,5
527,2
528,6
529,5
530,2
531,1
532,6
533,9
534,8
535,7
536,4
537,0
538,8
539,0
540,0
541,5
542,2
543,3
544,0
545,9
546,1
547,4
548,2
549,7
550,0
551,2
552,1
553,0
554,9
555,3
556,3
557,1
558,3
559,7
560,6
561,1
562,6
563,1
564,7
565,6
566,0
567,0
568,2
569,5
570,9
571,4
572,0
573,4
574,7
575,9
576,2
577,9
578,3
579,1
580,4
581,6
582,9
583,9
584,7
585,2
586,7
587,8
588,7
589,8
590,7
591,2
592,1
593,8
594,4
595,5
596,3
597,5
598,1
599,5
600,6
601,4
602,6
603,5
604,8
605,8
606,5
607,6
608,8
609,7
610,1
611,8
612,6
613,5
614,4
615,5
616,5
617,5
618,6
619,1
620,1
621,5
622,8
623,8
624,0
625,2
626,8
627,3
628,9
629,5
630,7
631,7
632,0
633,0
634,6
635,7
636,9
637,6
638,2
639,3
640,9
641,3
642,6
643,9
644,4
645,4
646,8
647,5
648,5
649,3
650,3
651,0
652,5
653,3
654,0
655,1
656,8
657,3
658,8
659,1
660,1
661,3
662,3
663,4
664,0
665,5
666,9
667,0
668,1
669,3
670,1
671,1
672,9
673,4
674,9
675,3
676,7
677,9
678,7
679,7
680,4
681,0
682,9
683,8
684,5
685,6
686,0
687,2
688,5
689,0
690,4
691,2
692,8
693,6
694,5
695,1
696,9
697,0
698,5
699,8
700,5
701,5
702,1
703,8
704,0
705,6
706,1
707,5
708,9
709,8
710,0
711,1
712,0
713,1
714,7
715,3
716,7
717,1
718,6
719,5
720,7
721,5
722,9
723,5
724,0
725,9
726,4
727,6
728,3
729,3
730,5
731,5
732,0
733,6
734,2
735,2
736,6
737,5
738,4
739,4
740,8
741,4
742,2
743,2
744,1
745,7
746,1
747,3
748,9
749,4
750,5
751,1
752,1
753,5
754,9
755,4
756,2
757,1
758,2
759,4
760,0
761,0
762,9
763,9
764,3
765,1
766,0
767,8
768,4
769,0
770,1
771,4
772,5
773,7
774,8
775,0
776,7
777,5
778,3
779,2
780,5
781,1
782,0
783,3
784,5
785,5
786,0
787,5
788,8
789,0
790,6
791,0
792,7
793,2
794,5
795,9
796,2
797,8
798,6
799,8
800,8
801,3
802,4
803,5
804,2
805,4
806,9
807,5
808,0
809,0
810,3
811,8
812,3
813,0
814,2
815,9
816,4
817,0
818,9
819,6
820,3
821,1
822,8
823,8
824,3
825,8
826,6
827,1
828,8
829,1
830,0
831,3
832,2
833,2
834,6
835,3
836,8
837,0
838,1
839,2
840,9
841,4
842,1
843,2
844,2
845,3
846,3
847,5
848,7
849,2
850,8
851,5
852,3
853,2
854,1
855,9
856,2
857,9
858,1
859,7
860,0
861,9
862,1
863,2
864,4
865,9
866,0
867,3
868,1
869,7
870,3
871,3
872,3
873,9
874,9
875,5
876,7
877,4
878,5
879,9
880,3
881,3
882,9
883,7
884,8
885,6
886,3
887,8
888,7
889,6
890,5
891,5
892,3
893,5
894,7
895,3
896,1
897,5
898,6
899,1
900,2
901,1
902,0
903,9
904,7
905,3
906,8
907,4
908,9
909,0
910,2
911,9
912,1
913,9
914,6
915,4
916,2
917,3
918,0
919,0
920,7
921,9
922,8
923,6
924,1
925,2
926,5
927,0
928,0
929,7
930,0
931,2
932,7
933,0
934,5
935,5
936,9
937,2
938,0
939,5
940,1
941,6
942,8
943,0
944,2
945,4
946,5
947,5
948,2
949,3
950,0
951,3
952,5
953,5
954,2
955,1
956,9
957,3
958,2
959,8
960,5
961,1
962,2
963,0
964,9
965,4
966,5
967,3
968,9
969,6
970,7
971,4
972,9
973,1
974,1
975,6
976,0
977,6
978,6
979,0
980,2
981,2
982,6
983,5
984,6
985,9
986,2
987,3
988,8
989,9
990,7
991,5
992,8
993,5
994,9
995,6
996,5
997,1
998,3
999,2
1000,7
1001,5
1002,8
1003,9
1004,5
1005,4
1006,5
1007,0
1008,8
1009,2
1010,2
1011,7
1012,5
1013,4
1014,5
1015,2
1016,4
1017,4
1018,5
1019,2
1020,6
1021,0
1022,5
1023,6
1024,7
1025,3
1026,2
1027,6
1028,1
1029,9
1030,0
1031,8
1032,5
1033,8
1034,8
1035,3
1036,5
1037,8
1038,7
1039,2
1040,1
1041,1
1042,3
1043,0
1044,5
1045,1
1046,9
1047,9
1048,3
1049,0
1050,9
1051,0
1052,6
1053,8
1054,5
1055,0
1056,2
1057,1
1058,8
1059,8
1060,8
1061,6
1062,9
1063,0
1064,7
1065,2
1066,2
1067,7
1068,1
1069,3
1070,9
1071,9
1072,6
1073,2
1074,7
1075,4
1076,0
1077,0
1078,3
1079,1
1080,5
1081,3
1082,7
1083,0
1084,0
1085,2
1086,3
1087,2
1088,0
1089,0
1090,4
1091,1
1092,7
1093,2
1094,9
1095,2
1096,4
1097,2
1098,8
1099,2
1100,5
1101,6
1102,3
1103,8
1104,3
1105,5
1106,0
1107,6
1108,0
1109,7
1110,2
1111,6
1112,1
1113,0
1114,7
1115,0
1116,1
1117,9
1118,8
1119,2
1120,7
1121,6
1122,4
1123,5
1124,9
1125,8
1126,8
1127,8
1128,3
1129,0
1130,8
1131,8
1132,8
1133,4
1134,2
1135,8
1136,6
1137,6
1138,2
1139,3
1140,6
1141,3
1142,3
1143,0
1144,1
1145,1
1146,1
1147,8
1148,8
1149,4
1150,7
1151,1
1152,5
1153,2
1154,5
1155,2
1156,0
1157,0
1158,7
